A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
94496720,ΑΚΡΟΠΟΛΙΣ ΧΡΗΜΑΤΙΣΤΗΡΙΑΚΗ ΑΝΩΝΥΜΗ      ΕΤΑΙΡΙΑ ΠΑΡΟΧΗΣ ΕΠΕΝΔΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ,ΝΙΚΗΤΑΡΑ 5-7,10678 ΑΘΗΝΑ,"5.512.204.222,04",-,"7.713.092.494,02","13.225.296.716,06",-,-,-,.,"(37.9841459, 23.7311806)"
94032359,ΟΛΥΜΠΙΑΚΗ ΑΕΡΟΠΟΡΙΑ ΥΠΗΡΕΣΙΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,Λ ΣΥΓΓΡΟΥ 96,11741 ΑΘΗΝΑ,"985.185.798,43","5.400,00","1.296.114.266,62","2.281.305.465,05","700.682.497,97","1.133.764.536,34","1.834.447.034,31",.,"(37.9634124, 23.7249851)"
999959577,ΔΟΜΕΝΙΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ COMMUNICATION EXCLUSIVE COMMEX ΕΕ,ΗΡΑΚΛΕΙΤΟΥ 97-99,15238 ΧΑΛΑΝΔΡΙ,"1.037.104.132,34",-,"720.796.044,55","1.757.900.176,89",-,-,-,.,"(38.0303331, 23.8446818)"
999844227,CARRERA MOBILE ΕΜΠΟΡΙΟ ΚΙΝΗΤΩΝ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΜΙΧΑΗΛ ΒΟΔΑ 117,10446 ΑΘΗΝΑ,"844.706.991,13",-,"735.865.582,31","1.580.572.573,44",-,-,-,.,"(37.9983541, 23.7257366)"
91358551,ΦΙΛΩΤΑΣ ΣΤΑΘΗΣ ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΙΑ,ΠΡΟΕΚΤΑΣΗ ΜΑΙΑΝΔΡΟΥ 0,56224 ΕΥΟΣΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,"749.701.815,32","1.496,15","463.455.360,07","1.213.158.671,54","956.536,79","1.642.593,08","2.599.129,87",.,"(40.6946097, 22.9069661)"
94397270,ΑΓΙΟΜΑΥΡΙΤΗΣ ΦΩΤΟΓΡΑΦIKA ΕΙΔΗ ΑΕΒΕ,ΚΟΛΟΚΟΤΡΩΝΗ 92,18535 ΠΕΙΡΑΙΑΣ,"405.593.783,88",-,"673.623.213,77","1.079.216.997,65",-,-,-,.,"(37.9422484, 23.6450126)"
999960564,ΑΠΟΣΤΟΛΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΛΥΣΑΝΔΡΟΥ 7,10446 ΑΘΗΝΑ,"5,85","425.880.779,04","607.602.787,27","1.033.483.572,16",-,-,-,.,"(37.9973005, 23.7236536)"
999055761,Α ΓΕΩΡΓΙΟΥ ΚΑΙ ΣΙΑ ΕΕ,ΑΓ ΑΝΤΩΝΙΟΥ 13,11142 ΑΘΗΝΑ,"11,62","329.401.328,20","465.043.148,76","794.444.488,58",-,-,-,.,"(38.0239654, 23.739179)"
999683894,Μ ΑΝΔΡΕΟΥ ΚΑΙ ΣΙΑ ΕΕ,Π ΤΣΑΛΔΑΡΗ 27,13561 ΑΓ ΑΝΑΡΓΥΡΟΙ,-,"329.293.474,44","464.902.514,39","794.195.988,83",-,-,-,.,"(38.029234, 23.7205077)"
800212268,Ι ΙΩΑΝΝΟΥ ΚΑΙ ΣΙΑ ΕΕ,ΜΙΝΩΑΣ 41,19100 ΜΕΓΑΡΑ,-,"329.293.474,44","464.902.514,39","794.195.988,83",-,-,-,.,"(37.9932887, 23.3466913)"
99389534,ΜΑΚΟ ΤΡΑΝΣ ΠΡΑΚΤΟΡΕΥΣΕΙΣ ΜΕΤΑΦΟΡΩΝ ΕΚΤΕΛΩΝΙΣΤΙΚΕΣ ΕΡΓΑΣΙΕΣ ΕΝΟΙΚΙΑΣΕΙΣ ΧΡΟΝΟΜΙΣΘΩΣΕΙΣ ΕΙΣΑΓΩΓΕΣ ΑΝΤΙ,ΠΟΛΥΤΕΧΝΕΙΟΥ 23,54625 ΘΕΣΣΑΛΟΝΙΚΗ,"26.245.005,05","227.502.107,31","474.109.959,85","727.857.072,21",-,-,-,.,"(40.6375211, 22.9347842)"
99389430,KROAKRI COMPANY LIMITED,ΦΡΑΓΚΩΝ 12,54625 ΘΕΣΣΑΛΟΝΙΚΗ,-,"227.502.107,31","451.504.196,60","679.006.303,91",-,-,-,.,"(40.6378581, 22.9366048)"
94529699,ΠΕΙΡΑΙΚΗ ΠΕΤΡΕΛΑΙΚΗ ΑΝ ΟΙΚΟΔ ΒΙΟΜ ΕΤ ΥΓΡ ΚΑΥΣ ΛΙΠ ΑΕ,ΓΟΥΝΑΡΗ 21,18531 ΠΕΙΡΑΙΑΣ,"217.813.848,10","448.094,20","403.864.481,20","622.126.423,50","161.626,02","274.863,60","436.489,62",.,"(37.9468347, 23.6441306)"
90049770,ΓΥΜΝΑΣΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ  Ο ΗΡΑΚΛΗΣ,ΑΓ ΔΗΜΗΤΡΙΟΥ 159Β,54634 ΘΕΣΣΑΛΟΝΙΚΗ,"341.036.024,22",-,"271.968.632,85","613.004.657,07","459.986,10","381.381,74","841.367,84",.,"(40.6347032, 22.9563993)"
94284618,ΕΛΕΥΘΕΡΗ ΤΗΛΕΟΡΑΣΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΑΓ ΠΑΡΑΣΚΕΥΗΣ 36-38,12132 ΠΕΡΙΣΤΕΡΙ,"336.603.093,10",-,"194.647.325,62","531.250.418,72","15.311.329,91","14.026.061,08","29.337.390,99",.,"(38.0074208, 23.706952)"
94349603,ΟΛΥΜΠΙΑΚΕΣ ΑΕΡΟΓΡΑΜΜΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,Λ ΣΥΓΓΡΟΥ 154,17671 ΚΑΛΛΙΘΕΑ,"317.685.790,53",-,"194.990.502,31","512.676.292,84","7.559.313,87","8.258.630,44","15.817.944,31",.,"(37.9579777, 23.7177644)"
96073405,SILBER ΣΠΕ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ 132,55134 ΚΑΛΑΜΑΡΙΑ,"158.398.829,25",-,"316.796.863,46","475.195.692,71",-,-,-,.,"(40.573395, 22.971398)"
94011769,ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΕΙΣΑΓΩΓΗΣ ΒΙΟΜΗΧ ΚΑΙ ΜΕΤΑΦΟΡΑΣ ΠΕΤΡΕΛΑΙΟΕΙΔΩΝ TRANSPORT AND OIL HELLAS AE,ΛΕΩΦ  ΔΗΜΟΚΡΑΤΙΑΣ 210,18863 ΠΕΡΑΜΑ,"25.729.800,20","137.470.361,38","255.787.279,68","418.987.441,26",-,-,-,.,"(37.9619203, 23.5962393)"
94075808,ΑΘΛΗΤΙΚΗ ΕΝΩΣΗ ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΑΕΚ ΠΟΔΟΣΦΑΙΡΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΠΑΡΟΔΟΣ ΟΔΟΥ ΡΕΘΥΜΝΗΣ ΘΕΣΗ ΜΑΖΑΡΕΚΟ 0,19004 ΣΠΑΤΑ,"148.288.811,35",-,"239.309.918,42","387.598.729,77","1.798.677,17","1.804.135,69","3.602.812,86",.,"(37.9565575, 23.9338557)"
94101554,ΟΡΓΑΝΙΣΜΟΣ ΔΙΕΞΑΓΩΓΗΣ ΙΠΠΟΔΡΟΜΙΩΝ ΕΛΛΑΔΟΣ ΑΕ,ΘΕΣΗ ΜΕΡΕΝΤΑ 0,19003 ΜΑΡΚΟΠΟΥΛΟ,"154.642.886,43",-,"195.153.135,72","349.796.022,15","13.724.378,87","13.778.878,62","27.503.257,49",.,"(37.8833564, 23.9333037)"
98085370,EFXINOS MARITIME INC,ΝΟΤΑΡΑ 59,18535 ΠΕΙΡΑΙΑΣ,"4.248,33","116.910.519,50","235.941.529,38","352.856.297,21",-,-,-,.,"(37.9430422, 23.6455022)"
999846208,VOIBERG TOBACCO COMPANY ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΕΙΣΑΓΩΓΙΚΗ ΕΞΑΓΩΓΙΚΗ ΑΝΤΙΠΡΟΣΩΠΕΥΤΙΚΗ ΚΑΠΝΙΚΩΝ ΠΡΟ,ΣΤΡΑΤΗΓΟΥ ΤΟΜΠΡΑ 5,15342 ΑΓ ΠΑΡΑΣΚΕΥΗ,"460,00","162.354.314,11","187.802.345,38","350.157.119,49",-,-,-,.,"(38.01195060000001, 23.8210403)"
94069710,ΕΓΝΑΤΙΑ  ΑΝΩΝΥΜΗ ΑΣΦΑΛΙΣΤΙΚΗ ΕΤΑΙΡΙΑ,ΕΜΜ ΜΠΕΝΑΚΗ 69Α 46,10681 ΑΘΗΝΑ,"136.268.414,18",-,"200.694.522,97","336.962.937,15","1.168.911,84","1.842.154,22","3.011.066,06",.,"(37.9859359, 23.7353499)"
94283880,SPECIAL SYSTEM ΔΙΑΦΗΜΙΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΠΑΛΑΙΟΛΟΓΟΥ 17,13562 ΑΓ ΑΝΑΡΓΥΡΟΙ,"174.831.849,81",-,"157.680.931,93","332.512.781,74","503.580,13","485.184,76","988.764,89",.,"(38.0349365, 23.7266358)"
94459146,GLOBALFON ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ ΑΕΒΕ,ΑΧΑΡΝΩΝ 395,11143 ΑΘΗΝΑ,"200.121.904,08",-,"132.523.301,21","332.645.205,29",-,-,-,.,"(38.0204289, 23.7292393)"
94063625,SPRIDER STORES ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΕΝΔΥΜΑΤΩΝ KTHMATIKH,ΟΔΥΣΣΕΩΣ 7,54625 ΘΕΣΣΑΛΟΝΙΚΗ,"199.591.234,37",-,"113.532.087,92","313.123.322,29","6.036.577,75","5.175.638,20","11.212.215,95",.,"(40.641402, 22.9340998)"
99767120,ΠΑΠΙΣΤΑΣ ΕΜΠΟΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,23 ΧΛΜ ΕΘΝΙΚΗΣ ΟΔΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ Ν ΜΟΥΔΑΝΙΩΝ 0,57500 ΕΠΑΝΟΜΗ,"182.386.141,24",-,"122.074.034,76","304.460.176,00",-,-,-,.,"(40.4301461, 23.018668)"
94249604,ΓΕΝΙΚΗ ΕΙΣΑΓΩΓΙΚΗ ΕΞΑΓΩΓΙΚΗ ΕΤΑΙΡΕΙΑ ΙΑΤΡΟΦΑΡΜΑΚΕΥΤΙΚΟΥ ΚΑΙ ΗΛΕΚΤΡΟΝΙΚΟΥ ΥΛΙΚΟΥ  ERGO ΑΕΒΕ,ΚΟΡΝΗΛΙΟΥ 13,14564 ΚΗΦΙΣΙΑ,"155.627.005,14",-,"146.993.956,13","302.620.961,27",-,-,-,.,"(38.0895753, 23.7861633)"
94109816,ΣΥΝΑΙΤΕΡΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑΛΙΠΑΣΜΑΤΩΝ ΑΕ ΔΤ ΣΥΝΕΛ ΑΕ,ΓΕΝΝΑΔΙΟΥ 6,10678 ΑΘΗΝΑ,"106.199.878,99",-,"186.225.337,66","292.425.216,65",-,-,-,.,"(37.9830484, 23.7325791)"
94034039,ΘΡΑΚΗ  ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΒΙΟΜΗΧΑΝΙΑΣ ΚΡΕΑΤΟΣ,27 ΧΙΛ Ε Ο ΑΛΕ ΠΟΛΗΣ ΚΗΠΩΝ ΕΒΡΟΥ 0,68500 ΦΕΡΕΣ,"120.491.579,30",-,"153.928.898,52","274.420.477,82","5.525.073,61","9.712.629,19","15.237.702,80",.,"(40.8942408, 26.1722017)"
94392710,ΠΡΙΝΣΕΣ ΑΕΡΟΓΡΑΜΜΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΙΑΣΟΝΙΔΟΥ 2,16604 ΕΛΛΗΝΙΚΟ,"94.112.944,42",-,"188.528.776,24","282.641.720,66","1.752.983,10","3.183.413,62","4.936.396,72",.,"(37.89197559999999, 23.7483443)"
94311533,ΤΕΧΝΙΚΗ ΞΥΛΟΥ ΑΒΕΕ,ΛΥΚΟΥΡΓΟΥ 15,42100 ΤΡΙΚΑΛΑ,"95.878.399,72",-,"189.117.383,64","284.995.783,36",-,-,-,.,"(39.5389403, 21.7580329)"
99681809,ΦΩΤΗΣ ΒΑΛΚΑΝΟΣ ΕΜΠΟΡΙΑ ΔΕΡΜΑΤΩΝ ΑΕ,ΠΑΣΙΟ ΠΕΡΙΟΧΗ ΚΟΚΚΙΝΙΑ 0,20200 ΚΙΑΤΟ,"138.981.798,31",-,"116.687.689,07","255.669.487,38",-,-,-,.,"(38.0134548, 22.7275436)"
94250001,ΓΕΝΙΚΗ ΜΕΤΑΛΛΕΥΤΙΚΗ ΚΑΙ ΜΕΤΑΛΛΟΥΡΓΙΚΗ ΑΝΩΝΥΜΗ  ΕΤΑΡΕΙΑ ΛΑΡΚΟ,ΦΡΑΓΚΟΚΚΛΗΣΙΑΣ 27,15125 ΜΑΡΟΥΣΙ,"161.255.865,21",-,"43.507.621,94","204.763.487,15","34.366.955,66","9.729.820,98","44.096.776,64",.,"(38.0362228, 23.8102853)"
94428747,ΩΜΕΓΑ ΔΙΕΘΝΕΙΣ ΜΕΤΑΦΟΡΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΘΕΣΗ ΚΥΡΙΛΛΟΣ 0,19300 ΑΣΠΡΟΠΥΡΓΟΣ,"145.000.257,52","300,00","94.063.860,16","239.064.417,68","1.337.528,76","1.420.563,59","2.758.092,35",.,"(38.0929311, 23.6206138)"
94185155,Κ ΜΠΑΛΑΦΑΣ ΑΝΩΝΥΜΟΣ ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΒΙΠΕ ΛΑΜΙΑΣ 0,35100 ΛΑΜΙΑ,"107.749.232,50",-,"115.604.448,92","223.353.681,42","3.044.869,08","5.651.584,69","8.696.453,77",.,"(38.902595, 22.5088888)"
94018680,ΑΦΟΙ ΑΛΑΦΟΓΙΑΝΝΗ ΕΤΟΙΜΟ ΣΚΥΡΟΔΕΜΑ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΓΕΝΝΑΔΙΟΥ 6,10678 ΑΘΗΝΑ,"74.494.792,98",-,"131.482.130,44","205.976.923,42","3.968.028,22","6.980.617,22","10.948.645,44",.,"(37.9830484, 23.7325791)"
94211860,ΝΤΙΦΕΡ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΝΑΥΤΙΛΙΑΚΗ  ΕΤΑΙΡΙΑ,ΜΑΙΑΝΔΡΟΥ 77,14341 Ν ΦΙΛΑΔΕΛΦΕΙΑ,"21.592.048,16","77.769.007,19","113.166.945,65","212.528.001,00",-,-,-,.,"(38.0378313, 23.7341927)"
96003685,ΚΥΔΕΠ ΚΟΙΝΟΠΡΑΞΙΑ ΕΝΩΣΕΩΝ ΓΕΩΡΓΙΚΩΝ ΣΥΝΕΤΑΙΡΙΣΜΩΝ,ΑΣΚΛΗΠΙΟΥ 9,10679 ΑΘΗΝΑ,"68.878.085,57","670.183,22","139.237.296,51","208.785.565,30",-,-,-,.,"(37.9820831, 23.7350894)"
999125903,ΓΑΙΟΔΟΜΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,ΕΓΝΑΤΙΑΣ 117,54635 ΘΕΣΣΑΛΟΝΙΚΗ,"96.265.485,76",-,"111.588.036,74","207.853.522,50",-,-,-,.,"(40.6325357, 22.9512692)"
94061970,ΕΞΠΡΕΣ ΣΕΡΒΙΣ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ,14 ΧΛΜ ΘΕΣΣΑΛΟΝΙΚΗΣ ΜΟΥΔΑΝΙΩΝ 0,57001 ΘΕΡΜΗ,"31.863.769,03",-,"41.448.751,70","73.312.520,73","49.807.684,91","83.504.812,12","133.312.497,03",.,"(40.5513761, 23.0012228)"
94461142,ΙΠΠΟΚΑΜΠΟΣ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΑΕ,2 ΧΙΛ Λ ΚΟΡ ΒΑΡΗ 0,19400 ΚΟΡΩΠΙ,"73.852.653,07",-,"121.841.734,15","195.694.387,22","1.564.237,59","2.965.425,91","4.529.663,50",.,"(37.9011442, 23.8726503)"
94147255,ΜΥΛΟΙ ΠΟΡΤΑΡΙΑΣ ΧΑΛΚΙΔΙΚΗΣ ΑΕ,ΟΔΥΣΣΕΩΣ 1,54627 ΘΕΣΣΑΛΟΝΙΚΗ,"66.683.299,45",-,"133.365.100,54","200.048.399,99",-,-,-,.,"(40.640517, 22.9338051)"
998280585,ΑΡΑΓΚΟ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΕΙΣΑΓΩΓΙΚΗ ΕΞΑΓΩΓΙΚΗ ΑΝΤΙΠΡΟΣΩΠΕΥΤΙΚΗ ΚΑΠΝΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΕΙΔΩΝ ΔΙΑΤ,ΘΕΣΗ ΑΚΡΕΣ ΠΑΠΠΑ ΠΕΡΙΒΟΛΙ 0,19100 ΜΕΓΑΡΑ,-,"117.722.440,72","80.506.206,54","198.228.647,26",-,-,-,.,"(37.9943201, 23.3430496)"
99034366,Π ΠΕΤΡΟΥΛΑΚΗΣ  Α ΠΕΤΡΟΥΛΑΚΗΣ ΕΕ,ΑΛΚΙΒΙΑΔΟΥ 57  59,10440 ΑΘΗΝΑ,"93.358.107,51",-,"104.641.860,77","197.999.968,28",-,-,-,.,"(37.9941055, 23.7261202)"
94001727,ΕΤΑΙΡΕΙΑ ΕΘΝΙΚΩΝ  ΚΑΙ  ΔΙΕΘΝΩΝ ΜΕΤΑΦΟΡΩΝ ΒΕΝΖΟ PETROL,ΤΡΙΠΟΛΕΩΣ 2,18863 ΠΕΡΑΜΑ,"295.352,45","69.202.918,81","125.317.982,00","194.816.253,26",-,-,-,.,"(37.9633105, 23.6066914)"
997800470,ΤΑΡΤΑΡΟΥΓΚΑ ΑΝΩΝ ΕΜΠΟΡ ΕΤ ΕΙΣ ΕΞΑΓ ΑΝΤΙΠΡ ΚΑΠΝ ΠΡΟΙΝΤ ΕΙΔΩΝ ΔΙΑΤΡ Κ ΟΙΝΟΠΝ ΠΟΤΩΝ ΑΛΛ ΟΙΚ ΥΛ ΚΑΥΣ ΤΟΥ,ΘΕΣΗ ΑΚΡΕΣ 0,19100 ΜΕΓΑΡΑ,-,"127.252.666,79","65.459.182,86","192.711.849,65",-,-,-,.,"(37.9943201, 23.3430496)"
99879720,CUSTOMISED TRANSPORT SERVICES ΜΕΤΑΦΟΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΠΑΡ ΗΡΑΚΛΕΙΟΥ 6-8,16675 ΓΛΥΦΑΔΑ,"99.335.857,80",-,"86.956.656,11","186.292.513,91",-,-,-,.,"(37.8865167, 23.7475341)"
94073262,ΑΤΤΙ ΚΑΤ ΑΤΕ,ΒΟΛΑΝΑΚΗ 7,11526 ΑΘΗΝΑ,"79.023.225,39",-,"98.157.933,80","177.181.159,19","3.983.729,20","4.403.771,08","8.387.500,28",.,"(37.9936037, 23.7689669)"
999819913,ΕΝΩΣΗ ΑΓΡΟΤΙΚΩΝ ΣΥΝΕΤΑΙΡΙΣΜΩΝ ΚΥΔΩΝΙΑΣ ΚΙΣΑΜΟΥ,ΜΑΛΕΜΕ 0,73014 ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,"68.780.002,40","9.059,48","77.892.963,83","146.682.025,71","12.716.228,72","20.279.659,86","32.995.888,58",.,"(35.5221101, 23.847434)"
94307060,ΒΕΣΥ ΑΕ ΒΙΟΜ ΕΠΕΞ ΣΥΝΘ ΥΛΩΝ,Λ ΚΗΦΙΣΙΑΣ 22,15125 ΜΑΡΟΥΣΙ,"59.870.292,20",-,"119.740.976,04","179.611.268,24",-,-,-,.,"(38.0361285, 23.7991441)"
94385602,ΓΕΝΙΚΕΣ ΕΠΙΣΚΕΥΕΣ ΚΑΤΑΣΚΕΥΕΣ ΠΛΟΙΩΝ ΝΑΥΣΙ ΑΕ,ΕΛΕΥΘΕΡΗ ΖΩΝΗ ΟΛΠ 0,18800 ΠΕΡΑΜΑ,"58.468.632,37",-,"77.508.992,61","135.977.624,98","14.997.407,58","27.869.486,30","42.866.893,88",.,"(37.9656089, 23.5677089)"
800338295,ΘΩΜΑΣ ΣΤΑΥΡΟΠΟΥΛΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΠΕΡΙΟΧΗ ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ 0,19300 ΑΣΠΡΟΠΥΡΓΟΣ,"3.340.324,51","108.024.961,90","64.196.088,55","175.561.374,96",-,-,-,.,"(38.0565547, 23.6036102)"
94100397,QUALITY MEAT ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΚΡΕΑΤΩΝ,ΚΗΦΙΣΟΥ  112 ΚΑΙ  ΠΑΥΛΟΥ 2,12132 ΠΕΡΙΣΤΕΡΙ,"69.826.812,40",-,"105.299.507,57","175.126.319,97",-,-,-,.,"(38.0065354, 23.7010451)"
999608833,ΕΤΑΙΡΙΑ ΓΕΝΙΚΩΝ ΚΑΤΑΣΚΕΥΩΝ ΑΡΜΑ ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΙΑ,Κ ΠΑΛΑΙΟΛΟΓΟΥ 7,17121 Ν ΣΜΥΡΝΗ,"97.535.372,38",-,"77.350.088,26","174.885.460,64",-,-,-,.,"(37.94664059999999, 23.7114008)"
94493649,EUROTOP ΕΥΡΩΠΑΙΚΗ ΕΜΠΟΡΟΒΙΟΜΗΧΑΝΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΚΑΙ ΤΥΠΟΠΟΙΗΣΗΣ ΓΕΩΡΓΙΚΩΝ ΠΡΟΙΟΝΤΩΝ,ΛΑΜΠΕΙΑΣ 1,12241 ΑΙΓΑΛΕΩ,"58.094.284,97",-,"116.445.652,24","174.539.937,21",-,-,-,.,"(37.9858097, 23.6813146)"
999274238,ΣΤΑΥΡΟΥ ΣΤΑΥΡΟΥΛΑ ΚΑΙ ΣΙΑ ΕΕ,ΕΥΑΓΓΕΛΙΚΗΣ ΣΧΟΛΗΣ 2,14231 Ν ΙΩΝΙΑ,-,"69.556.065,27","102.374.577,57","171.930.642,84",-,-,-,.,"(38.0418059, 23.751406)"
998117641,ΜΙΧΑΛΑΚΗΣ ΧΑΡΑΛΑΜΠΟΥΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΞΗΡΟΠΗΓΑΔΟ 0,19600 ΜΑΝΔΡΑ,-,"108.024.961,90","63.313.430,17","171.338.392,07",-,-,-,.,"(38.0750425, 23.5008508)"
84014242,ΔΙΑΔΟΧΟΙ Μ ΚΑΡΑΓΙΑΝΝΗ ΚΑΙ ΣΙΑ ΕΕ,Κ ΤΣΑΛΔΑΡΗ 45,11363 ΑΘΗΝΑ,"87.003.055,02",-,"83.063.183,69","170.066.238,71",-,-,-,.,"(37.9979379, 23.7503368)"
94509535,ΚΡΙΤΙΚΑΛ ΜΙΣΣΙΟΝ ΣΕΡΒΙΣΙΣ ΕΝΤ ΚΟΜΜΕΡΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΗΥ ΕΙΔΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ,ΦΑΒΙΕΡΟΥ 16 18,10438 ΑΘΗΝΑ,"113.081.837,02",-,"56.327.622,80","169.409.459,82",-,-,-,.,"(37.9868471, 23.7242665)"
94221853,Χ ΚΑΙ Β ΦΥΡΟΓΕΝΗΣ ΜΗΧΑΝΗΜΑΤΑ ΚΛΙΜΑΤΙΣΜΟΥ ΚΑΙ ΗΛΙΑΚΗΣ ΕΝΕΡΓΕΙΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΙΩΑΝ ΘΕΟΛΟΓΟΥ 12-16,13671 ΑΧΑΡΝΕΣ,"75.480.752,88",-,"92.532.239,16","168.012.992,04","416.579,90","777.590,62","1.194.170,52",.,"(38.0979065, 23.7521681)"
94233852,ΑΚΤΙΣ ΤΕΧΝΙΚΗ ΑΕ,ΦΩΣΚΟΛΟΥ   Κ ΞΕΝΟΥ 10,29100 ΖΑΚΥΝΘΟΣ,"66.865.799,24",-,"101.586.389,84","168.452.189,08",-,-,-,.,"(37.7846232, 20.8972636)"
99979675,ΕΜΠΟΡΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΙΣΑΓΩΓΙΚΗ  ΚΑΙ  ΕΞΑΓΩΓΙΚΗ ΕΤΑΙΡΙΑ ΕΝΔΥΜΑΤΩΝ  ΚΑΙ  ΕΙΔΩΝ ΕΝΔΥΣΗΣ ΕΠΕ,ΝΙΚΗΤΑΡΑ 3Α,56334 ΕΛΕΥΘΕΡΙΟ,"59.229.387,22","230,24","108.614.133,04","167.843.750,50",-,-,-,.,"(40.66524099999999, 22.9000624)"
94043626,Η ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ ΠΑΛΑΙΑ ΤΡΑΠΕΖΑ ΚΡΗΤΗΣ ΑΕ Ν 2330 95,ΚΑΤΕΧΑΚΗ 61Α ΚΑΙ ΒΡΑΝΑ 0,11525 ΑΘΗΝΑ,"54.362.138,43",-,"108.774.359,45","163.136.497,88",-,-,-,.,"(37.9954987, 23.7706994)"
